manga,name,artist,release,fupdate,popular,image
おじさまと猫,桜井海,桜井海,2018.2.17,2024.12.12,200万部,/images/ojisamatoneko.jpg
神とよばれた吸血鬼,桜井海,桜井海,2014.10.9,2017.2.23,8万部,/images/kami_kyuketsuki.jpg
呪術廻戦,芥見下々,芥見下々,2018.3.5,2024.9.30,1億万部,/images/jujutsukaisen.jpg
夏目友人帳,緑川ゆき,緑川ゆき,2005.10.5,2025.11.1,1800万部,/images/natsumeyujintyou.jpg
堀さんと宮村くん,HERO,HERO,2008.10.22,2011.12.22,800万部,/images/horisantomiyamurakun.jpg
ホリミヤ,HERO,萩原ダイスケ,2012.3.27,2021.7.16,700万部,/images/horimiya.jpg
ヴァニタスの手記,望月淳,望月淳,2016.4.22,2024.4.22,550万部,/images/vanitas.jpg
PandoraHearts,望月淳,望月淳,2006.10.27,2015.6.27,550万部,/images/pandorahearts.jpg
WIND BREAKER,にいさとる,にいさとる,2021.1.13,2025.6.9,800万部,/images/windbreaker.jpg
男子バド部に女子が紛れてる シークレットバドミントンクラブ,にいさとる,にいさとる,2016.7.8,2017.10.6,不明,/images/secret_badminton.jpg
